Tipo,Projeto,Cliente Final,Status,Valor Geral,EPC_Type,EPC
UFV,Fótons de São M. FASE 1,Pan American Energy,2024,8548163.49,EPC5, 
UFV,Fótons de São M. FASE 2,Pan American Energy,2024,4842048.0,EPC5, 
SE,Frederico Westphalen,EDPR,Perdeu,882182.94,EPC5, 
UHE ,Funil de Lavras,Aliança Energia,2024,985138.58,EPC5, 
OUT,Futura - Ampliar Autonomia,Eneva,2024,0.0,EPC5, 
UFV,Irapuru,Elera ,2024,7906990.84,EPC5, 
UFV,Irecê II,Sem cliente final,2024,2676053.73,EPC5, 
UFV,Lagoinha,CGN,2024,3856450.4,EPC5, 
UFV,Luis Carlos A,Atlas Renewable,2024,6044932.24,EPC5,BN
UFV,Luis Carlos B,Atlas Renewable,2024,7302142.19,EPC5, 
UFV,Monte Verde 2,Sem cliente final,2024,4594991.67,EPC5, 
UFV,Morro dos Cruzeiros,Statkraft,2024,2427566.87,EPC5, 
REF,Refinaria Abreu e Lima,Petrobrás,2024,2694235.14,EPC5, 
UFV,Riacho da Serra (Opção Fence),Exus Brasil,2024,4997612.63,EPC5, 
UFV,Santa Eugênia,Statkraft,2024,4829741.81,EPC5, 
UFV,Santa Luzia,Rio Alto,2024,2786008.29,EPC5, 
EOL,Santo Agostinho,Engie,2024,0.0,EPC5, 
UFV,São Vitor (Opção Fence),Essentia,2024,2981764.52,EPC5, 
UFV,Serra do Mel 7,Voltalia,2024,5349318.28,EPC5, 
UFV,Serrita,Eco Energia,Ganhou,2558786.06,EPC5, 
UFV,Sobral,Cubico ,Perdeu,8577698.89,EPC5, 
UFV ,Sol de Várzea,Matrix,2024,2225674.49,EPC5, 
UFV,Sol do Agreste (Opção Fence),Atiaia,2024,6737698.81,EPC5, 
UFV,Sol Serena,Sem cliente final,2024,2490716.73,EPC5, 
EOL,Trairí,Engie,2024,3753045.34,EPC5, 
SE,Vista Alegre,Atlas  ,Perdeu,1108544.64,EPC5, 
OUT,Vista Alegre - Prédio O&M,Atlas,2024,334035.1,EPC5, 
UFV,Arapuã,Kroma,2025,4176536.65,EPC5, 
SE,Assú Solar,Engie,2025,897045.12,EPC5, 
UFV ,Aventura (GD?),Copel,2025,0.0,EPC5, 
UFV,Barro do Alto,Green Yellow,2025,6268280.69,EPC5, 
UFV,Bom Jardim 2 e 5,Qair,2025,1793174.78,EPC5, 
UFV,Bom Lugar,LigthSource,2025,4697505.67,EPC5, 
UFV ,Bonito PERIMETRAL,Neoenergia,2025,8901675.76,EPC5, 
UFV,Cobra I a X (UFV LINS?),Sem cliente final,2025,3370233.44,EPC5, 
UFV,Cruzeiro do  Sul,Newave,2025,4299962.44,EPC5, 
